region_id,region_name,date,rainfall_mm_3h,rainfall_mm_24h,slope_deg,soil_moisture,river_level_m,land_use_type,risk_score,flood_occurred
REG_02618,Dehradun,2025-04-16,14.17,102.2,33.38,0.471,3.05,Agriculture,39.8,0
REG_02619,Rudraprayag,2020-12-30,8.29,52.95,44.44,0.255,1.88,Forest,25.7,0
REG_02620,Shimla,2022-03-31,25.43,80.56,46.91,0.378,1.44,Forest,31.5,0
REG_02621,Mangan,2023-11-03,49.99,124.86,12.48,0.561,3.39,Urban,45.9,0
REG_02622,Mangan,2022-08-04,68.52,99.21,53.78,0.322,2.35,Urban,41.8,0
REG_02623,Pithoragarh,2024-04-26,6.98,31.61,24.35,0.256,0.93,Forest,18.0,0
REG_02624,Kangra,2023-10-09,28.49,112.2,59.06,0.404,2.65,Barren,45.3,0
REG_02625,Pithoragarh,2023-12-10,11.97,61.19,55.41,0.256,2.29,Forest,29.4,0
REG_02626,Dehradun,2022-01-31,8.19,32.26,10.96,0.246,0.5,Agriculture,17.3,0
REG_02627,Rudraprayag,2020-12-06,4.15,133.25,41.05,0.574,2.79,Agriculture,46.8,0
REG_02628,Kullu,2021-01-17,24.84,44.07,58.26,0.26,1.15,Agriculture,28.2,0
REG_02629,Namchi,2022-09-30,129.14,173.76,38.25,0.55,3.47,Urban,55.8,0
REG_02630,Shimla,2024-04-05,5.5,173.0,40.78,0.532,3.34,Agriculture,51.5,0
REG_02631,Gyalshing,2020-10-26,13.04,73.27,56.55,0.347,1.65,Forest,31.9,0
REG_02632,Mandi,2020-05-18,14.01,112.39,38.64,0.423,1.65,Agriculture,37.9,0
REG_02633,Gangtok,2020-12-24,8.72,39.37,22.22,0.208,1.44,Urban,24.9,0
REG_02634,Gyalshing,2022-04-15,43.91,113.84,33.01,0.405,3.05,Agriculture,39.5,0
REG_02635,Namchi,2024-03-02,3.95,51.06,27.5,0.302,1.67,Forest,23.4,0
REG_02636,Kullu,2024-06-15,91.72,150.92,18.36,0.501,3.36,Forest,41.9,0
REG_02637,Mandi,2025-06-05,100.78,134.56,20.71,0.469,3.53,Agriculture,42.4,0
REG_02638,Shimla,2023-07-27,47.92,100.57,13.05,0.39,2.13,Forest,29.9,0
REG_02639,Chamba,2022-06-27,41.56,175.27,18.44,0.628,4.23,Forest,49.7,0
REG_02640,Tehri,2023-02-08,10.0,74.97,22.96,0.359,2.07,Agriculture,30.2,0
REG_02641,Gangtok,2025-12-26,2.57,107.53,47.92,0.415,1.74,Barren,41.4,0
REG_02642,Rudraprayag,2022-09-22,162.65,246.36,28.3,0.792,5.51,Forest,66.3,0
REG_02643,Namchi,2025-11-21,10.72,129.45,44.55,0.487,3.15,Agriculture,45.5,0
REG_02644,Pithoragarh,2023-05-22,11.99,112.48,59.81,0.474,3.7,Forest,44.3,0
REG_02645,Pakyong,2024-11-19,56.97,186.49,39.09,0.537,3.92,Urban,58.0,0
REG_02646,Uttarkashi,2020-06-13,26.36,78.9,40.71,0.446,2.09,Agriculture,35.8,0
REG_02647,Rudraprayag,2022-09-25,68.2,127.62,37.61,0.461,3.88,Agriculture,44.9,0
REG_02648,Tehri,2023-07-31,107.8,150.5,29.78,0.506,3.69,Agriculture,47.0,0
REG_02649,Gyalshing,2021-10-18,51.0,74.2,19.29,0.319,2.24,Urban,32.8,0
REG_02650,Namchi,2025-03-24,3.56,120.88,58.88,0.46,2.3,Forest,42.0,0
REG_02651,Kullu,2025-08-08,174.51,204.4,33.9,0.617,4.42,Urban,62.3,0
REG_02652,Rudraprayag,2025-10-12,13.0,30.05,56.79,0.235,1.3,Forest,23.4,0
REG_02653,Chamba,2023-02-14,13.08,53.52,22.99,0.296,1.22,Agriculture,24.4,0
REG_02654,Dehradun,2025-03-04,5.61,90.71,15.43,0.447,2.64,Agriculture,34.1,0
REG_02655,Pithoragarh,2020-09-23,76.08,188.88,41.84,0.583,4.87,Forest,55.3,0
REG_02656,Haridwar,2025-01-19,56.08,139.93,52.57,0.599,4.24,Agriculture,53.0,0
REG_02657,Kinnaur,2024-09-04,75.31,153.8,43.11,0.51,4.34,Forest,48.6,0
REG_02658,Shimla,2024-02-19,7.9,179.0,47.14,0.562,4.0,Agriculture,55.3,0
REG_02659,Pakyong,2021-04-20,9.44,31.9,40.42,0.207,0.99,Forest,19.6,0
REG_02660,Gyalshing,2022-09-03,51.96,110.85,47.32,0.438,2.63,Barren,44.0,0
REG_02661,Haridwar,2023-04-22,46.25,84.27,27.22,0.381,1.55,Forest,29.0,0
REG_02662,Gyalshing,2022-11-09,53.3,126.84,29.47,0.504,2.92,Urban,46.7,0
REG_02663,Rudraprayag,2025-05-14,3.94,44.27,49.01,0.21,1.1,Forest,22.8,0
REG_02664,Gyalshing,2021-07-11,38.51,48.22,50.07,0.186,0.65,Urban,28.4,0
REG_02665,Gyalshing,2022-10-14,6.78,80.27,14.13,0.374,2.33,Forest,27.7,0
REG_02666,Kullu,2024-05-24,10.37,79.29,10.85,0.366,1.36,Barren,29.9,0
REG_02667,Kangra,2022-06-01,184.79,222.51,43.33,0.729,4.48,Forest,62.4,0
REG_02668,Haridwar,2021-10-27,55.33,97.74,14.22,0.404,3.05,Forest,32.0,0
REG_02669,Gyalshing,2024-11-06,16.58,43.51,18.57,0.207,1.32,Barren,23.0,0
REG_02670,Gyalshing,2022-05-13,11.5,63.19,19.86,0.278,1.85,Forest,23.3,0
REG_02671,Namchi,2021-08-04,20.16,255.16,35.47,0.812,6.21,Agriculture,72.9,0
REG_02672,Uttarkashi,2021-11-25,19.48,159.32,20.06,0.555,4.11,Forest,46.0,0
REG_02673,Chamba,2023-06-05,76.8,120.53,19.04,0.507,3.66,Urban,45.7,0
REG_02674,Namchi,2024-05-29,5.4,63.51,10.53,0.353,1.74,Forest,23.5,0
REG_02675,Haridwar,2023-05-24,22.56,55.85,48.33,0.264,2.24,Agriculture,30.2,0
REG_02676,Uttarkashi,2021-02-02,32.33,133.06,16.79,0.59,2.62,Forest,40.3,0
REG_02677,Chamba,2025-04-30,5.33,23.36,38.44,0.14,1.09,Forest,16.8,0
REG_02678,Gangtok,2021-12-15,10.87,37.22,24.99,0.21,0.5,Agriculture,19.3,0
REG_02679,Haridwar,2021-12-04,31.19,43.72,19.15,0.265,1.49,Agriculture,22.4,0
REG_02680,Gangtok,2024-09-10,49.06,82.1,27.34,0.292,2.76,Forest,29.0,0
REG_02681,Gangtok,2025-05-26,10.48,41.04,22.87,0.192,1.23,Barren,22.9,0
REG_02682,Pakyong,2020-03-22,11.08,32.9,31.66,0.141,0.93,Agriculture,19.0,0
REG_02683,Rudraprayag,2021-08-26,92.4,128.74,44.51,0.508,3.16,Agriculture,46.0,0
REG_02684,Mangan,2025-05-24,35.54,93.35,12.55,0.2,1.46,Agriculture,25.4,0
REG_02685,Gyalshing,2024-09-06,157.77,190.81,19.16,0.647,3.11,Forest,49.9,0
REG_02686,Kinnaur,2025-08-08,120.13,142.73,14.01,0.554,3.85,Forest,42.5,0
REG_02687,Mangan,2022-06-21,72.69,113.07,58.39,0.454,2.97,Urban,48.7,0
REG_02688,Pithoragarh,2020-12-30,26.41,85.38,38.7,0.332,1.72,Urban,36.6,0
REG_02689,Tehri,2020-06-11,34.25,55.82,51.02,0.227,1.09,Urban,31.4,0
REG_02690,Mangan,2025-02-06,65.55,134.9,23.33,0.569,3.56,Urban,49.5,0
REG_02691,Namchi,2020-04-25,8.22,24.72,54.77,0.231,0.61,Forest,21.0,0
REG_02692,Haridwar,2022-05-30,24.99,65.18,41.45,0.241,1.2,Barren,29.9,0
REG_02693,Uttarkashi,2022-04-19,18.58,56.65,30.3,0.256,1.92,Forest,23.9,0
REG_02694,Chamoli,2023-09-08,32.15,42.8,40.03,0.316,0.5,Agriculture,25.1,0
REG_02695,Kinnaur,2022-11-02,8.27,156.61,16.37,0.604,3.02,Agriculture,46.6,0
REG_02696,Rudraprayag,2022-07-31,128.87,181.48,25.66,0.603,4.79,Agriculture,54.6,0
REG_02697,Kullu,2024-09-20,67.75,102.6,36.96,0.488,2.63,Urban,44.1,0
REG_02698,Mandi,2023-02-11,7.04,14.63,42.02,0.194,0.69,Forest,16.9,0
REG_02699,Pakyong,2020-01-22,13.05,88.44,20.84,0.334,2.42,Forest,29.0,0
REG_02700,Gyalshing,2024-10-15,7.03,45.59,59.59,0.19,2.05,Forest,26.1,0
REG_02701,Chamoli,2021-11-13,10.38,85.45,51.65,0.467,2.42,Barren,42.1,0
REG_02702,Mangan,2025-01-07,3.41,35.97,39.0,0.136,1.03,Agriculture,20.6,0
REG_02703,Gyalshing,2020-05-05,16.44,93.82,58.67,0.381,1.93,Agriculture,38.6,0
REG_02704,Dehradun,2020-10-03,18.44,38.82,35.63,0.344,1.08,Forest,23.2,0
REG_02705,Tehri,2025-06-22,54.21,169.82,57.36,0.565,3.36,Forest,52.2,0
REG_02706,Haridwar,2023-05-12,37.05,84.68,47.59,0.42,2.19,Agriculture,37.2,0
REG_02707,Shimla,2021-11-26,11.06,69.87,20.87,0.366,1.6,Urban,32.5,0
REG_02708,Gyalshing,2023-08-02,67.72,148.17,30.28,0.544,4.78,Agriculture,50.0,0
REG_02709,Pithoragarh,2020-02-26,9.98,62.92,23.14,0.314,1.89,Barren,29.8,0
REG_02710,Gangtok,2020-01-19,11.98,87.89,46.09,0.349,1.89,Forest,32.4,0
REG_02711,Chamoli,2020-04-22,27.23,47.2,48.33,0.243,1.82,Urban,31.8,0
REG_02712,Shimla,2021-06-25,34.91,87.39,44.21,0.331,1.77,Urban,37.9,0
REG_02713,Gangtok,2021-08-01,89.79,190.19,37.28,0.602,5.73,Forest,56.9,0
REG_02714,Chamoli,2022-12-24,8.93,59.09,30.1,0.306,1.26,Forest,24.1,0
REG_02715,Gangtok,2020-01-25,5.35,117.01,59.21,0.402,1.74,Barren,44.0,0
REG_02716,Shimla,2024-04-21,12.31,62.23,11.4,0.317,1.45,Forest,22.0,0
REG_02717,Tehri,2025-08-10,151.11,205.76,16.19,0.654,5.28,Forest,55.6,0
REG_02718,Chamba,2024-04-21,24.8,49.58,39.94,0.392,0.85,Agriculture,28.4,0
REG_02719,Rudraprayag,2020-05-20,12.08,34.13,47.79,0.336,1.42,Urban,31.7,0
REG_02720,Mangan,2024-11-02,7.29,64.15,57.88,0.317,1.8,Forest,30.6,0
REG_02721,Pithoragarh,2021-10-09,54.02,102.11,34.52,0.317,2.13,Forest,31.8,0
REG_02722,Kinnaur,2020-07-19,83.73,90.82,23.29,0.408,2.23,Agriculture,33.6,0
REG_02723,Kullu,2020-09-13,74.06,166.87,53.17,0.643,4.02,Agriculture,57.0,0
REG_02724,Pakyong,2021-06-30,94.98,115.48,32.03,0.33,3.63,Forest,36.3,0
REG_02725,Gangtok,2022-03-12,26.18,79.13,16.45,0.377,1.63,Agriculture,29.2,0
REG_02726,Shimla,2022-07-30,55.56,110.44,36.1,0.475,1.99,Agriculture,39.3,0
REG_02727,Kangra,2021-02-17,29.92,118.09,36.28,0.463,3.12,Agriculture,42.1,0
REG_02728,Pakyong,2025-07-07,31.35,152.11,21.46,0.554,3.18,Agriculture,46.0,0
REG_02729,Pakyong,2023-10-13,25.36,145.6,17.1,0.491,3.84,Agriculture,44.3,0
REG_02730,Namchi,2023-01-03,11.53,63.77,17.12,0.33,2.25,Forest,25.0,0
REG_02731,Pithoragarh,2022-06-28,130.61,229.78,51.17,0.724,5.6,Forest,66.6,0
REG_02732,Mangan,2020-07-06,55.35,119.31,35.05,0.426,2.88,Forest,38.2,0
REG_02733,Shimla,2025-07-08,118.68,171.4,46.82,0.565,4.15,Forest,52.2,0
REG_02734,Gyalshing,2023-08-06,85.1,122.95,58.12,0.386,3.17,Forest,42.0,0
REG_02735,Haridwar,2025-09-23,237.01,267.41,49.6,0.765,5.6,Forest,71.8,0
REG_02736,Dehradun,2025-10-31,29.06,115.22,17.85,0.386,3.12,Urban,40.8,0
REG_02737,Kinnaur,2023-02-20,17.2,45.51,30.99,0.285,1.64,Agriculture,25.4,0
REG_02738,Uttarkashi,2020-12-23,2.91,58.69,34.8,0.259,2.65,Barren,31.4,0
REG_02739,Rudraprayag,2024-03-31,35.97,127.19,45.06,0.524,3.4,Agriculture,46.8,0
REG_02740,Chamba,2022-12-25,37.62,67.11,58.25,0.31,1.61,Barren,35.5,0
REG_02741,Chamba,2024-08-07,60.51,115.4,24.25,0.448,3.81,Barren,43.3,0
REG_02742,Mangan,2020-06-10,49.85,92.53,53.06,0.354,1.52,Forest,33.5,0
REG_02743,Mangan,2021-03-25,30.79,79.88,13.61,0.376,1.73,Agriculture,28.9,0
REG_02744,Pakyong,2024-02-06,20.47,80.7,53.6,0.359,1.82,Forest,33.0,0
REG_02745,Rudraprayag,2022-11-02,14.41,58.35,44.73,0.363,1.84,Forest,29.0,0
REG_02746,Namchi,2025-11-28,23.41,124.59,11.43,0.516,2.63,Forest,36.6,0
REG_02747,Haridwar,2025-05-04,12.44,29.18,40.54,0.153,0.53,Forest,17.1,0
REG_02748,Uttarkashi,2023-08-06,129.02,208.72,56.57,0.729,4.46,Forest,62.9,0
REG_02749,Kinnaur,2023-05-23,13.28,58.77,31.63,0.275,1.5,Urban,30.5,0
REG_02750,Kinnaur,2022-08-31,112.43,132.48,15.86,0.47,2.63,Barren,42.1,0
REG_02751,Pithoragarh,2021-09-23,74.85,119.1,59.43,0.53,2.86,Agriculture,47.3,0
REG_02752,Mandi,2024-05-09,21.5,174.8,30.84,0.588,4.29,Forest,50.8,0
REG_02753,Shimla,2022-11-16,52.89,85.2,36.39,0.348,2.07,Agriculture,33.3,0
REG_02754,Mandi,2024-05-07,11.17,42.96,58.37,0.326,1.94,Urban,35.3,0
REG_02755,Pithoragarh,2024-08-20,108.67,167.67,39.24,0.484,5.25,Agriculture,53.2,0
REG_02756,Chamba,2021-03-12,44.88,123.5,43.81,0.482,3.26,Forest,42.3,0
REG_02757,Dehradun,2024-04-05,28.61,119.38,45.5,0.401,3.37,Urban,46.8,0
REG_02758,Haridwar,2022-12-12,38.71,135.74,47.67,0.467,2.75,Urban,49.4,0
REG_02759,Kangra,2023-07-28,78.9,121.81,50.01,0.477,2.76,Urban,48.5,0
REG_02760,Rudraprayag,2025-09-09,103.71,169.22,13.74,0.47,3.65,Agriculture,45.6,0
REG_02761,Dehradun,2020-07-01,118.39,131.54,56.72,0.579,3.28,Agriculture,50.3,0
REG_02762,Chamoli,2024-01-09,16.9,62.76,37.27,0.337,2.27,Agriculture,31.0,0
REG_02763,Rudraprayag,2024-01-19,8.2,89.23,36.69,0.412,1.93,Barren,37.7,0
REG_02764,Mangan,2024-05-08,6.98,24.86,51.78,0.165,1.4,Forest,20.5,0
REG_02765,Uttarkashi,2024-05-06,48.96,119.11,25.34,0.377,3.12,Agriculture,38.3,0
REG_02766,Chamba,2021-10-21,43.67,70.38,42.8,0.331,2.72,Agriculture,33.6,0
REG_02767,Pithoragarh,2020-06-08,50.48,67.89,25.85,0.286,2.54,Forest,26.4,0
REG_02768,Uttarkashi,2022-10-08,38.7,70.61,48.04,0.303,0.94,Barren,32.7,0
REG_02769,Tehri,2020-02-22,23.58,89.88,31.65,0.449,2.28,Urban,40.1,0
REG_02770,Chamoli,2022-11-11,17.34,93.79,19.33,0.372,1.86,Forest,29.2,0
REG_02771,Kangra,2022-11-19,9.14,38.12,55.44,0.273,1.24,Urban,31.5,0
REG_02772,Mandi,2023-05-13,15.48,213.27,47.67,0.693,4.8,Forest,61.8,0
REG_02773,Rudraprayag,2024-02-03,7.65,76.69,10.71,0.425,1.85,Forest,27.1,0
REG_02774,Pakyong,2024-01-29,13.5,51.25,13.22,0.205,1.43,Urban,24.7,0
REG_02775,Namchi,2022-11-01,7.47,48.08,28.95,0.239,2.03,Barren,27.5,0
REG_02776,Chamba,2025-05-04,4.79,122.99,49.01,0.4,2.88,Urban,46.8,0
REG_02777,Gyalshing,2022-04-29,39.37,127.64,23.8,0.578,2.75,Barren,45.8,0
REG_02778,Tehri,2020-12-19,14.73,61.37,59.54,0.146,2.02,Forest,26.8,0
REG_02779,Mandi,2023-01-03,22.06,71.03,55.95,0.354,1.75,Agriculture,34.5,0
REG_02780,Kangra,2024-10-05,10.69,20.88,53.23,0.234,0.5,Agriculture,22.7,0
REG_02781,Dehradun,2024-01-04,14.19,133.26,10.46,0.494,3.58,Agriculture,41.3,0
REG_02782,Gyalshing,2022-09-17,42.98,70.38,58.2,0.281,1.93,Agriculture,33.3,0
REG_02783,Chamba,2023-06-18,158.65,196.97,39.57,0.601,5.14,Agriculture,59.4,0
REG_02784,Haridwar,2025-02-27,31.67,71.98,39.57,0.349,2.06,Forest,29.9,0
REG_02785,Chamba,2024-12-14,10.52,158.36,14.93,0.549,3.82,Forest,44.3,0
REG_02786,Haridwar,2023-01-16,7.23,61.37,40.47,0.254,1.34,Forest,24.9,0
REG_02787,Kangra,2022-03-28,4.4,97.38,36.43,0.4,2.61,Urban,41.2,0
REG_02788,Rudraprayag,2024-12-04,18.53,28.47,37.07,0.241,1.88,Forest,21.3,0
REG_02789,Tehri,2025-05-14,28.95,66.78,19.57,0.346,2.55,Agriculture,29.3,0
REG_02790,Namchi,2022-06-07,102.06,174.19,37.16,0.618,3.75,Barren,56.5,0
REG_02791,Tehri,2025-01-29,11.8,63.54,13.62,0.243,2.01,Urban,28.3,0
REG_02792,Chamba,2023-03-26,14.1,193.44,11.07,0.614,4.94,Barren,56.7,0
REG_02793,Shimla,2021-10-29,7.04,89.68,20.66,0.302,2.49,Forest,28.4,0
REG_02794,Rudraprayag,2021-09-24,46.29,120.07,50.08,0.476,2.92,Agriculture,44.6,0
REG_02795,Kinnaur,2024-06-30,134.16,163.07,40.18,0.486,3.66,Forest,47.2,0
REG_02796,Kangra,2020-05-16,2.95,90.95,54.72,0.334,2.22,Agriculture,37.0,0
REG_02797,Kangra,2025-04-30,2.53,124.07,29.45,0.434,3.64,Forest,39.5,0
REG_02798,Uttarkashi,2024-08-24,50.51,99.96,27.49,0.408,2.78,Agriculture,36.5,0
REG_02799,Pithoragarh,2021-03-03,48.86,107.55,45.0,0.391,2.34,Agriculture,39.0,0
REG_02800,Kangra,2024-01-15,17.07,163.32,30.35,0.495,3.8,Forest,46.1,0
REG_02801,Kullu,2022-03-29,73.45,168.74,29.06,0.592,3.43,Urban,54.7,0
REG_02802,Namchi,2025-12-28,12.84,49.25,33.3,0.285,1.48,Forest,23.4,0
REG_02803,Gyalshing,2023-01-11,27.56,171.39,15.74,0.482,3.82,Agriculture,46.8,0
REG_02804,Haridwar,2020-07-16,125.07,201.36,20.14,0.642,4.72,Forest,54.3,0
REG_02805,Kangra,2025-06-18,195.53,258.89,40.17,0.812,5.13,Forest,69.5,0
REG_02806,Pithoragarh,2021-04-15,10.15,116.32,40.42,0.467,2.9,Agriculture,42.3,0
REG_02807,Chamba,2025-05-02,16.92,96.69,39.51,0.37,2.25,Agriculture,36.1,0
REG_02808,Tehri,2022-07-17,66.77,108.68,19.99,0.52,2.55,Forest,36.1,0
REG_02809,Pakyong,2025-07-03,108.28,188.32,31.78,0.625,5.04,Forest,55.0,0
REG_02810,Chamba,2022-06-24,149.14,184.47,56.05,0.661,4.91,Forest,59.2,0
REG_02811,Shimla,2020-01-23,45.25,151.46,53.05,0.506,2.44,Forest,46.0,0
REG_02812,Dehradun,2020-08-22,52.31,104.77,37.87,0.457,2.51,Agriculture,39.5,0
REG_02813,Rudraprayag,2023-01-29,8.22,29.52,55.04,0.218,0.5,Barren,26.1,0
REG_02814,Chamoli,2022-07-17,102.43,147.99,43.75,0.583,2.51,Urban,52.6,0
REG_02815,Shimla,2021-06-06,39.23,133.38,30.61,0.463,3.43,Agriculture,43.6,0
REG_02816,Pakyong,2024-12-13,29.72,74.76,48.82,0.344,1.63,Barren,35.7,0
REG_02817,Shimla,2021-03-06,16.89,78.62,25.1,0.328,2.66,Forest,28.9,0
REG_02818,Haridwar,2022-03-03,40.49,49.08,52.73,0.27,1.26,Forest,25.8,0
REG_02819,Chamba,2024-06-17,126.31,168.97,26.48,0.579,4.53,Forest,49.6,0
REG_02820,Shimla,2024-10-02,18.59,35.36,49.73,0.137,1.96,Barren,26.7,0
REG_02821,Kullu,2021-06-16,37.31,82.25,24.07,0.419,2.59,Barren,36.3,0
REG_02822,Namchi,2024-10-12,6.23,93.98,55.85,0.306,1.98,Forest,33.9,0
REG_02823,Namchi,2024-08-02,76.0,126.16,19.24,0.527,2.14,Barren,42.4,0
REG_02824,Kullu,2023-08-09,93.87,133.6,45.95,0.517,3.07,Forest,44.3,0
REG_02825,Pakyong,2022-07-01,62.29,76.95,30.43,0.391,2.63,Forest,31.1,0
REG_02826,Gyalshing,2023-01-29,7.55,36.04,10.92,0.206,2.45,Urban,24.6,0
REG_02827,Kinnaur,2024-03-05,13.41,40.21,26.59,0.239,0.84,Forest,18.8,0
REG_02828,Namchi,2023-08-20,137.71,210.2,20.13,0.715,5.22,Urban,64.7,0
REG_02829,Namchi,2022-10-20,13.41,61.88,37.76,0.228,1.88,Agriculture,27.5,0
REG_02830,Tehri,2024-04-25,10.25,91.53,22.99,0.329,2.96,Barren,35.7,0
REG_02831,Chamoli,2023-10-10,6.04,92.7,13.63,0.295,1.8,Agriculture,28.6,0
REG_02832,Pakyong,2024-02-28,16.0,69.76,57.65,0.375,1.65,Agriculture,34.9,0
REG_02833,Gangtok,2024-08-08,126.96,174.43,52.26,0.575,3.84,Urban,59.6,0
REG_02834,Mandi,2025-06-20,130.03,203.69,12.27,0.702,4.84,Barren,60.1,0
REG_02835,Dehradun,2020-08-14,47.51,86.24,23.57,0.402,1.82,Forest,29.7,0
REG_02836,Mangan,2023-06-13,79.3,95.19,41.52,0.446,1.76,Barren,39.7,0
REG_02837,Dehradun,2022-05-22,9.29,91.6,26.07,0.356,2.52,Agriculture,33.5,0
REG_02838,Namchi,2022-06-10,60.66,108.55,24.09,0.36,2.45,Barren,37.6,0
REG_02839,Haridwar,2024-01-18,15.77,95.09,39.79,0.399,3.32,Forest,36.3,0
REG_02840,Chamoli,2022-11-02,11.22,43.68,19.72,0.249,1.7,Urban,26.5,0
REG_02841,Rudraprayag,2021-01-31,49.36,83.21,42.43,0.403,2.07,Agriculture,35.5,0
REG_02842,Shimla,2023-01-28,10.19,103.39,14.47,0.417,2.75,Agriculture,34.9,0
REG_02843,Kangra,2025-09-09,50.84,72.09,26.25,0.375,1.81,Forest,27.8,0
REG_02844,Pithoragarh,2021-10-10,8.49,34.92,15.78,0.296,1.54,Forest,19.2,0
REG_02845,Kullu,2020-11-24,4.04,28.1,24.83,0.148,1.1,Urban,21.8,0
REG_02846,Mangan,2024-01-22,50.35,124.97,44.14,0.366,3.92,Agriculture,43.4,0
REG_02847,Namchi,2022-08-09,73.2,150.48,48.19,0.458,3.84,Forest,46.7,0
REG_02848,Kinnaur,2025-06-28,94.46,126.22,17.25,0.414,3.77,Urban,44.0,0
REG_02849,Namchi,2025-07-09,88.27,158.57,47.31,0.536,3.21,Barren,53.2,0
REG_02850,Pakyong,2025-02-21,10.94,33.05,14.21,0.185,1.69,Agriculture,18.7,0
REG_02851,Mangan,2023-04-11,16.58,123.67,20.83,0.491,2.46,Barren,42.1,0
REG_02852,Kullu,2024-11-07,28.08,66.66,35.02,0.339,1.57,Forest,27.2,0
REG_02853,Haridwar,2020-06-10,32.66,83.46,58.56,0.356,2.34,Forest,35.1,0
REG_02854,Pakyong,2024-10-17,12.33,52.6,58.68,0.299,2.62,Forest,30.6,0
REG_02855,Kullu,2022-02-14,14.12,78.19,33.92,0.381,1.96,Agriculture,32.7,0
REG_02856,Mandi,2025-01-01,10.66,63.13,50.25,0.28,2.22,Agriculture,31.7,0
REG_02857,Gangtok,2022-11-17,10.49,92.8,37.67,0.418,1.66,Agriculture,35.4,0
REG_02858,Dehradun,2022-07-28,80.37,126.19,47.58,0.376,3.08,Urban,46.7,0
REG_02859,Pakyong,2021-06-23,141.12,183.2,42.65,0.589,3.87,Agriculture,55.4,0
REG_02860,Dehradun,2022-04-01,23.27,42.05,44.86,0.298,1.49,Urban,31.3,0
REG_02861,Kullu,2024-01-01,8.3,94.38,31.98,0.33,2.06,Agriculture,33.2,0
REG_02862,Gyalshing,2022-12-24,83.47,117.6,51.66,0.387,3.45,Forest,40.9,0
REG_02863,Rudraprayag,2020-12-21,42.35,69.81,32.28,0.293,2.65,Forest,28.1,0
REG_02864,Dehradun,2020-08-22,56.8,69.05,45.29,0.321,2.29,Barren,35.2,0
REG_02865,Shimla,2024-03-28,42.78,150.75,53.51,0.52,2.92,Forest,47.3,0
REG_02866,Mangan,2025-09-27,81.31,175.94,42.78,0.62,4.52,Forest,54.2,0
REG_02867,Tehri,2020-04-27,5.9,34.71,35.49,0.302,0.5,Barren,25.5,0
REG_02868,Mandi,2025-10-02,39.16,163.0,36.42,0.566,3.25,Barren,52.7,0
REG_02869,Shimla,2024-07-31,46.67,199.59,45.44,0.694,5.22,Agriculture,63.2,0
REG_02870,Chamba,2022-12-03,24.05,68.95,14.61,0.318,1.43,Barren,28.3,0
REG_02871,Gyalshing,2025-10-01,18.63,138.24,41.83,0.466,3.67,Forest,44.1,0
REG_02872,Chamoli,2021-07-11,98.39,117.94,28.75,0.501,2.87,Agriculture,41.3,0
REG_02873,Mandi,2024-12-20,52.93,137.49,16.76,0.481,3.44,Forest,39.7,0
REG_02874,Chamoli,2025-06-28,72.52,124.47,55.63,0.398,2.67,Agriculture,43.6,0
REG_02875,Gyalshing,2021-02-01,5.83,62.96,34.88,0.35,2.06,Barren,33.0,0
REG_02876,Rudraprayag,2021-11-05,9.35,88.84,32.85,0.415,2.86,Forest,33.9,0
REG_02877,Haridwar,2021-01-21,5.43,56.8,37.12,0.318,1.7,Agriculture,28.7,0
REG_02878,Shimla,2025-11-28,3.88,58.87,41.13,0.302,1.1,Barren,30.5,0
REG_02879,Kangra,2025-08-26,125.6,164.92,19.73,0.553,4.18,Forest,46.7,0
REG_02880,Uttarkashi,2022-06-02,77.66,158.53,41.27,0.519,3.53,Agriculture,49.9,0
REG_02881,Pithoragarh,2021-06-24,68.15,144.04,27.62,0.569,3.79,Agriculture,47.7,0
REG_02882,Kullu,2020-06-19,57.5,111.59,45.74,0.396,1.84,Urban,42.7,0
REG_02883,Chamoli,2022-01-09,30.26,166.31,48.59,0.492,3.63,Agriculture,51.6,0
REG_02884,Gangtok,2023-11-02,46.11,74.92,10.37,0.379,1.39,Agriculture,27.2,0
REG_02885,Namchi,2020-04-28,8.08,46.87,45.82,0.261,1.02,Agriculture,26.2,0
REG_02886,Gyalshing,2025-11-21,23.37,63.07,27.63,0.345,1.38,Agriculture,27.8,0
REG_02887,Chamba,2025-06-18,121.18,152.77,25.19,0.535,4.27,Agriculture,48.4,0
REG_02888,Mandi,2024-09-01,83.22,124.8,28.64,0.486,3.44,Urban,46.9,0
REG_02889,Pithoragarh,2024-09-18,106.53,143.14,38.78,0.473,3.95,Agriculture,47.4,0
REG_02890,Pakyong,2024-08-24,37.39,53.26,15.73,0.342,2.53,Forest,24.4,0
REG_02891,Shimla,2023-12-15,46.97,81.86,44.91,0.296,2.45,Agriculture,33.8,0
REG_02892,Namchi,2024-10-25,30.37,137.37,32.26,0.406,4.11,Urban,48.3,0
REG_02893,Tehri,2024-03-04,25.1,67.5,17.99,0.287,2.06,Agriculture,26.7,0
REG_02894,Kinnaur,2021-10-26,32.52,164.84,35.47,0.546,4.34,Urban,56.0,0
REG_02895,Gangtok,2020-02-02,13.12,53.0,38.7,0.334,1.22,Agriculture,27.9,0
REG_02896,Namchi,2025-10-03,6.82,70.53,27.31,0.299,2.21,Urban,33.2,0
REG_02897,Haridwar,2025-08-21,36.27,114.23,54.98,0.414,2.76,Agriculture,42.9,0
